move_name,filename,move_duration_frames,package,category,is_neutral,is_mirror,move_soma_uniform_path,move_soma_uniform_shape_path,move_soma_proportional_path,move_soma_proportional_shape_path,move_g1_path,take_name,take_actor,take_org_name,take_date,take_day_part,content_name,content_natural_desc_1,content_natural_desc_2,content_natural_desc_3,content_natural_desc_4,content_technical_description,content_short_description,content_short_description_2,content_all_rigplay_styles,content_uniform_style,content_type_of_movement,content_body_position,content_horizontal_move,content_vertical_move,content_props,content_complex_action,content_repeated_action,actor_uid,actor_height,actor_height_cm,actor_foot_cm,actor_collarbone_height_cm,actor_collarbone_span_cm,actor_elbow_span_cm,actor_wrist_span_cm,actor_shoulder_span_cm,actor_hips_height_cm,actor_hips_bones_span_cm,actor_knee_height_cm,actor_ankle_height_cm,actor_weight_kg,actor_age_yr,actor_gender,actor_profession
idle_to_on_all_fours_idle_001__A334,idle_to_on_all_fours_idle_001__A334,735,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230418/idle_to_on_all_fours_idle_001__A334.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230418/idle_to_on_all_fours_idle_001__A334.bvh,soma_shapes/soma_proportion_fit_mhr_params/A334.npz,g1/csv/230418/idle_to_on_all_fours_idle_001__A334.csv,idle_to_on_all_fours_idle_001,A334,idle_to_on_all_fours_idle_001,230418,_2,idle_to_on_all_fours_idle,the character transitions from standing to being on their hands and knees,move from standing to kneeling on hands and knees,person kneels on both hands and knees from a standing position,An upright person kneels down on the ground and transitions into a dog position.,"kneel on both knees, add both hands parallel on floor simultaneously, from standing to talent on hands and knees",from neutral position to dog position,idle to on all fours idle,neutral,neutral,transition,"standing, on all fours",1,1,0,0,0,A334,M,176,29,147,38,94,142,178,98,32,53,9,89,30,M,actor
on_all_fours_180_start_R_001__A035,mohak_start_001__A035,419,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_start_001__A035.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_start_001__A035.bvh,soma_shapes/soma_proportion_fit_mhr_params/A035.npz,g1/csv/220721/mohak_start_001__A035.csv,on_all_fours_180_start_R_001,A035,mohak_start_001,220721,_1,on_all_fours_180_start_R,individual starts to move while positioned on all fours,"being in an all-fours position, person starts to move on hands and knees",person starts moving forward while on their hands and knees,A person is crawling forward by taking several steps at a steady pace.,"start right foot left hand adding, move forward, on hands and knees forward",the person is in a position on all fours and begins to move on knees and hands,on all fours 180 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A035,T,198,30,168,38,106,160,200,113,33,59,12,145,43,M,general
on_all_fours_180_loop_R_103__A124,mohak_forward_loop_103__A124,724,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230118/mohak_forward_loop_103__A124.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230118/mohak_forward_loop_103__A124.bvh,soma_shapes/soma_proportion_fit_mhr_params/A124.npz,g1/csv/230118/mohak_forward_loop_103__A124.csv,on_all_fours_180_loop_R_103,A124,mohak_forward_loop_103,230118,_3,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,"A person is in a quadruped position, walking forward on all fours.","move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A124,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
on_all_fours_360_start_R_001__A035,mohak_backward_start_001__A035,873,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_backward_start_001__A035.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_backward_start_001__A035.bvh,soma_shapes/soma_proportion_fit_mhr_params/A035.npz,g1/csv/220721/mohak_backward_start_001__A035.csv,on_all_fours_360_start_R_001,A035,mohak_backward_start_001,220721,_1,on_all_fours_360_start_R,someone moving backwards while grounded on hands and knees,move backwards on hands and knees,person starts to crawl backwards on all fours,A person in a crawling position begins to move backward using their knees and hands.,"start right foot left hand adding, move backward, on hands and knees backward",the person is in a position on all fours and begins to move backward on knees and hands,on all fours 360 start,neutral,neutral,on hands and knees,"standing, on all fours",1,1,0,0,0,A035,T,198,30,168,38,106,160,200,113,33,59,12,145,43,M,general
on_all_fours_turn_000_001__A034,mohak_turn_000_001__A034,570,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_turn_000_001__A034.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_turn_000_001__A034.bvh,soma_shapes/soma_proportion_fit_mhr_params/A034.npz,g1/csv/220721/mohak_turn_000_001__A034.csv,on_all_fours_turn_000_001,A034,mohak_turn_000_001,220721,_1,on_all_fours_turn_000,"character, on all fours, turns left","while on all fours, person makes a turn to the left using their hands",character turns left on all fours,A person on all fours quickly turns to the right.,"on hands and knees, start right left, turn left 180 degrees over left shoulder,",turning on all fours to the left,on all fours turn 000,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A034,T,183,26,155,37,99,148,182,108,31,54,9,96,27,F,general
on_all_fours_360_stop_R_002__A031,mohak_backward_stop_002__A031,980,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220720/mohak_backward_stop_002__A031.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220720/mohak_backward_stop_002__A031.bvh,soma_shapes/soma_proportion_fit_mhr_params/A031.npz,g1/csv/220720/mohak_backward_stop_002__A031.csv,on_all_fours_360_stop_R_002,A031,mohak_backward_stop_002,220720,_1,on_all_fours_360_stop_R,"individual moves backwards using their hands and knees, then stops",character moves backward on their hands and knees,"person moves backward on their hands and knees, then stops in the same body position",A person is standing on all fours and starts to crawl in the backward direction. Then the person stops crawling and stands again.,"end left foot right hand adding, move backward, on hands and knees backward",person moves backward on all fours and stop in the same body position,on all fours 360 stop,neutral,neutral,on hands and knees,"on all fours, standing",1,1,0,0,0,A031,T,192,30,157,37,101,149,189,105,28,56,10,85,22,M,general
on_all_fours_180_loop_R_102__A036,mohak_forward_loop_002__A036,1166,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/220721/mohak_forward_loop_002__A036.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/220721/mohak_forward_loop_002__A036.bvh,soma_shapes/soma_proportion_fit_mhr_params/A036.npz,g1/csv/220721/mohak_forward_loop_002__A036.csv,on_all_fours_180_loop_R_102,A036,mohak_forward_loop_002,220721,_1,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,A person begins to move forward on all fours.,"move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A036,S,150,21,122,22,80,118,146,83,25,42,7,50,27,F,general
on_all_fours_360_loop_R_003__A203,on_all_fours_backward_loop_R_003__A203,1274,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230216/on_all_fours_backward_loop_R_003__A203.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230216/on_all_fours_backward_loop_R_003__A203.bvh,soma_shapes/soma_proportion_fit_mhr_params/A203.npz,g1/csv/230216/on_all_fours_backward_loop_R_003__A203.csv,on_all_fours_360_loop_R_003,A203,on_all_fours_backward_loop_R_003,230216,_2,on_all_fours_360_loop_R,person moves backward while on their hands and knees,individual moves backwards while being on their hands and knees,"move backward on all fours, with hands and knees on the ground",The person in an all-fours position steadily moves backward and then comes to a halt.,"move backward, on hands and knees backward",the person is moving backward in a position on all fours,on all fours 360 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A203,M,168,25,139,31,90,129,166,98,28,49,9,57,23,F,actor
on_all_fours_180_loop_R_002__A125,mohak_forward_loop_002__A125,1409,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230119/mohak_forward_loop_002__A125.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230119/mohak_forward_loop_002__A125.bvh,soma_shapes/soma_proportion_fit_mhr_params/A125.npz,g1/csv/230119/mohak_forward_loop_002__A125.csv,on_all_fours_180_loop_R_002,A125,mohak_forward_loop_002,230119,_2,on_all_fours_180_loop_R,individual crawls forward on hands and knees,the actor is moving forward on their hands and knees,the individual moves forward while on all fours,A person is crawling forward on the ground on all fours.,"move forward, on hands and knees forward",the person is moving in a position on all fours,on all fours 180 loop,neutral,neutral,on hands and knees,on all fours,1,1,0,0,0,A125,M,175,26,147,30,96,137,180,102,29,53,8,64,28,F,actor
on_all_fours_turn_360_R_003__A202,on_all_fours_turn_360_R_003__A202,834,Locomotion,Advanced Locomotion,1.0,False,soma_uniform/bvh/230216/on_all_fours_turn_360_R_003__A202.bvh,soma_shapes/soma_base_fit_mhr_params.npz,soma_proportional/bvh/230216/on_all_fours_turn_360_R_003__A202.bvh,soma_shapes/soma_proportion_fit_mhr_params/A202.npz,g1/csv/230216/on_all_fours_turn_360_R_003__A202.csv,on_all_fours_turn_360_R_003,A202,on_all_fours_turn_360_R_003,230216,_2,on_all_fours_turn_360_R,turn around 180 degrees on your hands and knees,person turns to the right while on hands and knees,person turns to the right on all fours over their right shoulder,A person hunched down in a crawling posture with both arms and knees grounded turns to the right.,"start right foot and right hand, turn 180 degrees over right shoulder, on hands and knees",turning on all fours to the right,on all fours turn 360,neutral,neutral,"on hands and knees, turning",on all fours,0,0,0,0,0,A202,T,187,27,155,33,100,147,187,105,30,54,10,78,28,M,actor
